StartupName;Industries;HeadquartersLocation;Description;Last Funding Date;Last Funding Amount (in USD);Number of Funding Rounds;Last Funding Type;IPO Status;StartupCountry;Top 5 Investors
Caribe Federal Credit Union;Banking Financial Services;Puerto Rico Misiones Argentina;Caribe Federal Credit Union is a non-profit organization organized and managed under the Federal Cooperative Act.;2023-04-10;3718258;1;Grant;Private;AR;Community Development Financial Institutions Fund
Tecpetrol;Energy Renewable Energy;Buenos Aires Distrito Federal Argentina;Tecpetrol is an energy company with experience in oil and gas.;2023-07-13;4160999;2;Debt Financing;Private;AR;Itau Unibanco
Pomelo;Credit Cards Financial Services FinTech Information Technology;Buenos Aires Distrito Federal Argentina;Pomelo develops a digital processing platform to provide personalized virtual accounts and cards through APIs and dashboards.;2024-01-17;40000000;5;Series B;Private;AR;Sequoia Capital Latitud Insight Partners Tiger Global Management FJ Labs
Genneia;Energy Renewable Energy;Olivos Buenos Aires Argentina;Genneia operates as a renewable energy generation company.;2023-02-23;85000000;1;Debt Financing;Private;AR;FMO FinDev Canada
VU;Biometrics Cyber Security Fraud Detection Identity Management Security;Buenos Aires Distrito Federal Argentina;VU is a cybersecurity company that specializes in fraud prevention and identity protection.;2023-04-07;4200000;10;Venture - Series Unknown;Private;AR;Wayra Globant NXTP Ventures Telefonica IDB Lab
InvGate;Asset Management Enterprise Software Information Technology IT Management Software;Buenos Aires Distrito Federal Argentina;InvGate is a leading provider of Enterprise Software for management of IT and the delivery of Internal Business Services.;2023-07-12;35000000;1;Private Equity;Private;AR;Riverwood Capital Endeavor Catalyst
Fredonia Mining;Mineral Mining Natural Resources;Buenos Aires Distrito Federal Argentina;Fredonia Mining is a mining company that focuses on the exploration of gold-silver deposits.;2024-09-18;1000000;2;Post-IPO Equity;Public;AR;
Aligned Layer;Cryptocurrency;Buenos Aires Distrito Federal Argentina;Universal Verification Layer for Ethereum using Eigenlayer;2024-04-25;20000000;2;Series A;Private;AR;StarkWare Industries Hack VC Lemniscap o1Labs Bankless Ventures
360 Energy Solar;Energy Solar;Buenos Aires Distrito Federal Argentina;360 Energy Solar engages in development construction assembly and operation of Photovoltaic Solar Parks.;2024-04-18;100000000;1;Corporate Round;Private;AR;Stellantis
Flybondi.com;Aerospace Air Transportation;Buenos Aires Distrito Federal Argentina;Flybondi.com is an airline company in Argentina.;2023-08-08;17000000;1;Seed;Private;AR;
Moova;Delivery Service E-Commerce Information Technology Last Mile Transportation Logistics SaaS Shipping Software;Buenos Aires Distrito Federal Argentina;The last mile digital platform for urban logistics providers. We are reimagining last mile logistics for a sustainable world.;2023-06-27;5000000;7;Venture - Series Unknown;Private;AR;Movile Wayra FJ Labs Toyota Tsusho Alaya Capital
Nilus;Food and Beverage Food Delivery Group Buying Information Technology Retail Technology;Buenos Aires Distrito Federal Argentina;Nilus lowers the cost of access to food & groceries for low-income people by organizing community group buying networks.;2023-12-23;5000000;10;Series A;Private;AR;Village Capital Kiva Plug and Play Google.org Newtopia VC
Kilimo;Agriculture CleanTech Farming Software Water;Córdoba Cordoba Argentina;Kilimo is a Big Data solution for water management in agriculture.;2024-06-18;7500000;9;Series A;Private;AR;AgLaunch Accelerator The Yield Lab NXTP Ventures iThink VC Emerald Technology Ventures
Agrotoken;Agriculture AgTech Cryptocurrency FinTech Trading Platform;Buenos Aires Distrito Federal Argentina;Agrotoken is a grain-backed transactional digital asset used to save or exchange for supplies services and other assets.;2023-11-08;12500000;2;Seed;Private;AR;Visa Borderless Capital Algorand Bunge Ventures Newtopia VC
Fudo;Management Information Systems Point of Sale Restaurants SaaS Software;Buenos Aires Distrito Federal Argentina;Fudo is a web-based management system for restaurants bars and cafes which allows operation from anywhere at any time.;2023-11-30;5287500;3;Seed;Private;AR;Andreessen Horowitz Latitud Collaborative Fund FJ Labs Goodwater Capital
Ruta 3 Automotores;Electric Vehicle Manufacturing;Ramos Mejía Buenos Aires Argentina;Ruta 3 Automotores is an RENAULT Dealer linked with guarantee and confidence.;2023-09-25;857065;1;Debt Financing;Private;AR;
Rentennials;Car Sharing;Mendoza Mendoza Argentina;Mobile App Marketplace Car sharing Mobility;2024-09-15;150000;2;Pre-Seed;Private;AR;
Auravant;Agriculture AgTech Farming;Buenos Aires Distrito Federal Argentina;Auravant help improve the efficiency of the agricultural sector through the use of aerial monitoring platforms.;2023-06-01;1723656;6;Seed;Private;AR;Wayra NXTP Ventures GoHub Ventures The Yield Lab LATAM Kamay Ventures
Tapi;FinTech Information Technology Payments;Buenos Aires Distrito Federal Argentina;Tapi is a fintech firm that helps and supports companies provide simple and regional payment solutions.;2024-07-12;22000000;2;Series A;Private;AR;Andreessen Horowitz Kaszek Newtopia VC H20 Capital
UcoValley Garlic;Agriculture Artificial Intelligence (AI) Food and Beverage Food Processing Machine Learning;Mendoza Mendoza Argentina;At Uco valley Productions we are building an automatic AI based Inventory tracking application;2023-02-04;5200000;1;Seed;Private;AR;
Tucán;B2B Digital Marketing E-Commerce Logistics Sales;Buenos Aires Distrito Federal Argentina;Tucán helps restaurants thrive online by providing e-commerce last-mile and marketing solutions.;2024-08-14;1000000;2;Seed;Private;AR;Start-Up Chile Shefa Ventures
BoulderTech;Bitcoin Blockchain Cryptocurrency Financial Services;Buenos Aires Distrito Federal Argentina;Tokenize manage and invest in real-world assets;2023-11-21;1000000;1;Seed;Private;AR;Shefa Ventures
Roxom;Bitcoin Blockchain Cryptocurrency FinTech;Buenos Aires Distrito Federal Argentina;Roxom is the first Bitcoin Stock Commodities and Crypto Exchange in human history.;2024-07-01;4300000;1;Pre-Seed;Private;AR;Borderless Capital 2TM Draper Associates Cadenza Ventures Newtopia VC
SiloReal;;Buenos Aires Distrito Federal Argentina;SiloReal offers real-time remote monitoring and security of silo bags.;2023-10-10;1500000;1;Seed;Private;AR;
MercadoLibre;E-Commerce Internet Marketing Marketplace Payments;Buenos Aires Distrito Federal Argentina;MercadoLibre hosts online e-commerce and auction platforms that provide users with buying and selling mechanisms for e-transactions.;2024-09-18;250000000;8;Post-IPO Debt;Public;AR;Goldman Sachs Tiger Global Management PayPal Dragoneer Investment Group HM Capital
Vega Coop;Banking Credit Finance Financial Services Insurance Life Insurance;Puerto Rico Misiones Argentina;VegaCoop is a financial services company.;2023-04-10;3718258;1;Grant;Private;AR;Community Development Financial Institutions Fund
Nuqlea;Construction E-Commerce Information Technology;Boulogne Buenos Aires Argentina;Nuqlea is a B2B digital platform from construction that integrates its value chain and develops technological triple bottom line solutions.;2024-02-12;750000;2;Seed;Private;AR;Newtopia VC Fundamental VC Saint-Gobain NOVA Matias Woloski Eduardo Novillo Astrada
