Banco Itaú Chile;Banking Financial Services;Las Condes Region Metropolitana Chile;Banco Itaú Chile is a community financial institution that provides banking services;2023-01-03;78824765;1;PostIPO Debt;Public;CL;
HealthAtom;Digital Marketing Health Care SaaS Software;Las Condes Region Metropolitana Chile;HealthAtom is a softwareasaservice platform for the healthcare industry;2023-01-06;10000000;1;Series A;Private;CL;Soma Capital FJ Labs Chile Ventures Launchbay Capital Kayyak Ventures
RAFI;Information Technology Internet of Things;Santiago Region Metropolitana Chile;We digitalize your inventory and asset tracking with IoT technology;2023-01-10;30000;1;Angel;Private;CL;
BioElements;Biotechnology CleanTech GreenTech Sustainability;Santiago Region Metropolitana Chile;BioElements is a biotech and circular economy company that produces sustainable bioplastic for packaging films and bags;2023-01-17;30000000;1;Series A;Private;CL;BTG Pactual
Bemmbo;Accounting Financial Services FinTech Payments Sales Automation Software;Santiago Region Metropolitana Chile;Bemmbo saves companies time and money automating accounts payables and receivables;2023-01-23;500000;3;PreSeed;Private;CL;Platanus 99 Startups
Omnix Corp;Artificial Intelligence (AI) Big Data Business Intelligence Data Center Automation SaaS;Santiago Region Metropolitana Chile;Cognitive automation of complex business processes through AI to restore operational fluidity;2023-02-01;1400000;2;Seed;Private;CL;Wayra Plug and Play
Flair  Air Analytics;B2B Facility Management Intelligent Systems Property Management PropTech Smart Building;Santiago Region Metropolitana Chile;Flair is a B2B proptech/healthtech that creates wellness focused on people and reduces the carbon footprint;2023-02-01;122500;2;Angel;Private;CL;Platanus StartUp Chile
Adara;ECommerce ECommerce Platforms Retail Retail Technology SaaS Software;Santiago Region Metropolitana Chile;Adara is a toolkit of softwares that increase ecommerces conversion and improve customer experience using AI;2023-02-01;40000;4;Angel;Private;CL;
OpenAgents;Artificial Intelligence (AI) Information Technology Natural Language Processing SaaS;Santiago Region Metropolitana Chile;SaaS Low Code and Near Realtime Application development Platform based on IoT Paradigm for the real time enterprise;2023-02-09;100000;2;Grant;Private;CL;Google for Startups CORFO Imagine Juncalada
Wibo;ECommerce Internet Software;Santiago Region Metropolitana Chile;wibo offers mobile application that customers can order pay and receive their orders through channels;2023-02-10;450000;2;PreSeed;Private;CL;Daedalus Ventures Nakama Ventures
Done Properly;Biotechnology Food and Beverage Food Processing Sustainability;Santiago Region Metropolitana Chile;Done Properly is a foodtech company developing innovative sustainable ingredients through fermentation technologies;2023-02-13;1800000;7;Seed;Private;CL;StartUp Chile AIR Capital Angel Ventures Clave CORFO
