StartupName;Industries;HeadquartersLocation;Description;LastFundingDate;LastFundingAmount;NumberofFundingRounds;LastFundingType;StartupCountry;GeographyRegion;Top5Investors
Kavak;Automotive E-Commerce E-Commerce Platforms Online Portals;Mexico City Distrito Federal Mexico;KAVAK is an online platform that offers insight into buying and selling used cars.;2022-09-15;810000000;7;Debt Financing;MX;Latin America;HSBC General Catalyst Goldman Sachs Santander Bank Founders Fund
Klabin;Consumer Industrial Paper Manufacturing;São Paulo Sao Paulo Brazil;Klabin transforma matéria-prima em produtos de usos múltiplos renováveis e biodegradáveis.;2023-10-18;595000000;2;Debt Financing;BR;Latin America;The Brazilian Development Bank(BNDES)
Stone;Business Development Financial Services Information Technology Point of Sale Transaction Processing;Jardim Paulista Sao Paulo Brazil;Stone is a payments acquirer licensed by VISA and Mastercard to accredit merchants process and authorize credit card transactions.;2023-12-29;467500000;1;Debt Financing;BR;Latin America;U.S. International Development Finance Corp
Mercado Pago;E-Commerce Education Fashion FinTech Internet;Santana De Parnaíba Sao Paulo Brazil;MercadoPago is the leading Internet payment platform in the Latin American region.;2023-11-09;466000000;1;Debt Financing;BR;Latin America;Citibanamex Banco Citibank SA
V.tal;Digital Signage Internet Telecommunications;Brasil Sao Paulo Brazil;V.tal is a provides end to end digital infrastructure solutions for the telecom and internet industries.;2022-11-25;462098667;1;Private Equity;BR;Latin America;CPP Investments
D1 Stores;E-Commerce Retail;Medellín Antioquia Colombia;D1 is a Colombian retailer with around 500 stores.;2022-07-07;334000000;4;Private Equity;CO;Latin America;CPP Investments Abraaj Group Valorem Capital Group Private Markets
Enel Colombia;Energy Energy Management Energy Storage;Bogotá Distrito Especial Colombia;Enel Colombia is an energy trading company that generates markets and distributes electricity.;2024-10-10;300000000;1;Debt Financing;CO;Latin America;European Investment Bank
Banistmo;Banking Financial Services;Panama City Panama Panama;Banistmo provides banking products and services to individual and legal entities and various small and medium-sized (SME) companies.;2022-12-20;300000000;1;Debt Financing;PA;Latin America;International Finance Corporation
Central American Bank for Economic Integration (CABEI);Banking Business Development Financial Services Lending;Tegucigalpa Francisco Morazan Honduras;The Central American Bank for Economic Integration (CABEI) is a multilateral financial institution founded on December 13 1960.;2024-05-24;299500000;3;Debt Financing;HN;Latin America;Meiji Yasuda Life Insurance
Águas do Rio;Environmental Consulting Water;Rio De Janeiro Rio de Janeiro Brazil;Aguas do Rio is responsible for sanitation services in 27 municipalities in the state of Rio de Janeiro.;2023-10-05;290331946;1;Debt Financing;BR;Latin America;Proparco IDB Invest
